hsa-mir-1233-1,('MIR1233-1', '100302160')
hsa-mir-1245a,('MIR1245A', '100302219')
hsa-mir-1270-1,('MIR1270', '100302179')
hsa-mir-1295a,('MIR1295A', '100302178')
hsa-mir-3155a,('MIR3155A', '100422989')
hsa-mir-3670-1,('MIR3670-1', '100500910')
hsa-mir-3680-1,('MIR3680-1', '100500917')
hsa-mir-3690-1,('MIR3690', '100500894')
hsa-mir-4444-1,('MIR4444-1', '100616394')
hsa-mir-451a,('MIR451A', '574411')
hsa-mir-4536-1,('MIR4536-1', '100616155')
hsa-mir-511,('MIR511', '574445')
hsa-mir-514a-2,('MIR514A2', '574517')
hsa-mir-514a-3,('MIR514A3', '574518')
hsa-mir-550a-1,('MIR550A1', '693133')
hsa-mir-6089-2,('MIR6089', '102464837')
LOC101059918,('GOLGA8R', '101059918')
LOC101928603,('ARMH2', '101928603')
LOC729574,('', 'discontinued')
LOC100506127,('GVQW3', '100506127')
LOC100996758,('NPY4R2', '100996758')
LOC728637,('MEIKIN', '728637')
ntctrl0,('', 'no hits')
ntctrl1,('', 'no hits')
ntctrl2,('', 'no hits')
ntctrl3,('', 'no hits')
ntctrl4,('', 'no hits')
ntctrl5,('', 'no hits')
ntctrl6,('', 'no hits')
ntctrl7,('', 'no hits')
ntctrl8,('', 'no hits')
ntctrl9,('', 'no hits')
ntctrl10,('', 'no hits')
ntctrl11,('', 'no hits')
ntctrl12,('', 'no hits')
ntctrl13,('', 'no hits')
ntctrl14,('', 'no hits')
ntctrl15,('', 'no hits')
ntctrl16,('', 'no hits')
ntctrl17,('', 'no hits')
ntctrl18,('', 'no hits')
ntctrl19,('', 'no hits')
ntctrl20,('', 'no hits')
ntctrl21,('', 'no hits')
ntctrl22,('', 'no hits')
ntctrl23,('', 'no hits')
ntctrl24,('', 'no hits')
ntctrl25,('', 'no hits')
ntctrl26,('', 'no hits')
ntctrl27,('', 'no hits')
ntctrl28,('', 'no hits')
ntctrl29,('', 'no hits')
ntctrl30,('', 'no hits')
ntctrl31,('', 'no hits')
ntctrl32,('', 'no hits')
ntctrl33,('', 'no hits')
ntctrl34,('', 'no hits')
ntctrl35,('', 'no hits')
ntctrl36,('', 'no hits')
ntctrl37,('', 'no hits')
ntctrl38,('', 'no hits')
ntctrl39,('', 'no hits')
ntctrl40,('', 'no hits')
ntctrl41,('', 'no hits')
ntctrl42,('', 'no hits')
ntctrl43,('', 'no hits')
ntctrl44,('', 'no hits')
ntctrl45,('', 'no hits')
ntctrl46,('', 'no hits')
ntctrl47,('', 'no hits')
ntctrl48,('', 'no hits')
ntctrl49,('', 'no hits')
ntctrl50,('', 'no hits')
ntctrl51,('', 'no hits')
ntctrl52,('', 'no hits')
ntctrl53,('', 'no hits')
ntctrl54,('', 'no hits')
ntctrl55,('', 'no hits')
ntctrl56,('', 'no hits')
ntctrl57,('', 'no hits')
ntctrl58,('', 'no hits')
ntctrl59,('', 'no hits')
ntctrl60,('', 'no hits')
ntctrl61,('', 'no hits')
ntctrl62,('', 'no hits')
ntctrl63,('', 'no hits')
ntctrl64,('', 'no hits')
ntctrl65,('', 'no hits')
ntctrl66,('', 'no hits')
ntctrl67,('', 'no hits')
ntctrl68,('', 'no hits')
ntctrl69,('', 'no hits')
ntctrl70,('', 'no hits')
ntctrl71,('', 'no hits')
ntctrl72,('', 'no hits')
ntctrl73,('', 'no hits')
ntctrl74,('', 'no hits')
ntctrl75,('', 'no hits')
ntctrl76,('', 'no hits')
ntctrl77,('', 'no hits')
ntctrl78,('', 'no hits')
ntctrl79,('', 'no hits')
ntctrl80,('', 'no hits')
ntctrl81,('', 'no hits')
ntctrl82,('', 'no hits')
ntctrl83,('', 'no hits')
ntctrl84,('', 'no hits')
ntctrl85,('', 'no hits')
ntctrl86,('', 'no hits')
ntctrl87,('', 'no hits')
ntctrl88,('', 'no hits')
ntctrl89,('', 'no hits')
ntctrl90,('', 'no hits')
ntctrl91,('', 'no hits')
ntctrl92,('', 'no hits')
ntctrl93,('', 'no hits')
ntctrl94,('', 'no hits')
ntctrl95,('', 'no hits')
ntctrl96,('', 'no hits')
ntctrl97,('', 'no hits')
ntctrl98,('', 'no hits')
ntctrl99,('', 'no hits')
ntctrl100,('', 'no hits')
ntctrl101,('', 'no hits')
ntctrl102,('', 'no hits')
ntctrl103,('', 'no hits')
ntctrl104,('', 'no hits')
ntctrl105,('', 'no hits')
ntctrl106,('', 'no hits')
ntctrl107,('', 'no hits')
ntctrl108,('', 'no hits')
ntctrl109,('', 'no hits')
ntctrl110,('', 'no hits')
ntctrl111,('', 'no hits')
ntctrl112,('', 'no hits')
ntctrl113,('', 'no hits')
ntctrl114,('', 'no hits')
ntctrl115,('', 'no hits')
ntctrl116,('', 'no hits')
ntctrl117,('', 'no hits')
ntctrl118,('', 'no hits')
ntctrl119,('', 'no hits')
ntctrl120,('', 'no hits')
ntctrl121,('', 'no hits')
ntctrl122,('', 'no hits')
ntctrl123,('', 'no hits')
ntctrl124,('', 'no hits')
ntctrl125,('', 'no hits')
ntctrl126,('', 'no hits')
ntctrl127,('', 'no hits')
ntctrl128,('', 'no hits')
ntctrl129,('', 'no hits')
ntctrl130,('', 'no hits')
ntctrl131,('', 'no hits')
ntctrl132,('', 'no hits')
ntctrl133,('', 'no hits')
ntctrl134,('', 'no hits')
ntctrl135,('', 'no hits')
ntctrl136,('', 'no hits')
ntctrl137,('', 'no hits')
ntctrl138,('', 'no hits')
ntctrl139,('', 'no hits')
ntctrl140,('', 'no hits')
ntctrl141,('', 'no hits')
ntctrl142,('', 'no hits')
ntctrl143,('', 'no hits')
ntctrl144,('', 'no hits')
ntctrl145,('', 'no hits')
ntctrl146,('', 'no hits')
ntctrl147,('', 'no hits')
ntctrl148,('', 'no hits')
ntctrl149,('', 'no hits')
ntctrl150,('', 'no hits')
ntctrl151,('', 'no hits')
ntctrl152,('', 'no hits')
ntctrl153,('', 'no hits')
ntctrl154,('', 'no hits')
ntctrl155,('', 'no hits')
ntctrl156,('', 'no hits')
ntctrl157,('', 'no hits')
ntctrl158,('', 'no hits')
ntctrl159,('', 'no hits')
ntctrl160,('', 'no hits')
ntctrl161,('', 'no hits')
ntctrl162,('', 'no hits')
ntctrl163,('', 'no hits')
ntctrl164,('', 'no hits')
ntctrl165,('', 'no hits')
ntctrl166,('', 'no hits')
ntctrl167,('', 'no hits')
ntctrl168,('', 'no hits')
ntctrl169,('', 'no hits')
ntctrl170,('', 'no hits')
ntctrl171,('', 'no hits')
ntctrl172,('', 'no hits')
ntctrl173,('', 'no hits')
ntctrl174,('', 'no hits')
ntctrl175,('', 'no hits')
ntctrl176,('', 'no hits')
ntctrl177,('', 'no hits')
ntctrl178,('', 'no hits')
ntctrl179,('', 'no hits')
ntctrl180,('', 'no hits')
ntctrl181,('', 'no hits')
ntctrl182,('', 'no hits')
ntctrl183,('', 'no hits')
ntctrl184,('', 'no hits')
ntctrl185,('', 'no hits')
ntctrl186,('', 'no hits')
ntctrl187,('', 'no hits')
ntctrl188,('', 'no hits')
ntctrl189,('', 'no hits')
ntctrl190,('', 'no hits')
ntctrl191,('', 'no hits')
ntctrl192,('', 'no hits')
ntctrl193,('', 'no hits')
ntctrl194,('', 'no hits')
ntctrl195,('', 'no hits')
ntctrl196,('', 'no hits')
ntctrl197,('', 'no hits')
ntctrl198,('', 'no hits')
ntctrl199,('', 'no hits')
ntctrl200,('', 'no hits')
ntctrl201,('', 'no hits')
ntctrl202,('', 'no hits')
ntctrl203,('', 'no hits')
ntctrl204,('', 'no hits')
ntctrl205,('', 'no hits')
ntctrl206,('', 'no hits')
ntctrl207,('', 'no hits')
ntctrl208,('', 'no hits')
ntctrl209,('', 'no hits')
ntctrl210,('', 'no hits')
ntctrl211,('', 'no hits')
ntctrl212,('', 'no hits')
ntctrl213,('', 'no hits')
ntctrl214,('', 'no hits')
ntctrl215,('', 'no hits')
ntctrl216,('', 'no hits')
ntctrl217,('', 'no hits')
ntctrl218,('', 'no hits')
ntctrl219,('', 'no hits')
ntctrl220,('', 'no hits')
ntctrl221,('', 'no hits')
ntctrl222,('', 'no hits')
ntctrl223,('', 'no hits')
ntctrl224,('', 'no hits')
ntctrl225,('', 'no hits')
ntctrl226,('', 'no hits')
ntctrl227,('', 'no hits')
ntctrl228,('', 'no hits')
ntctrl229,('', 'no hits')
ntctrl230,('', 'no hits')
ntctrl231,('', 'no hits')
ntctrl232,('', 'no hits')
ntctrl233,('', 'no hits')
ntctrl234,('', 'no hits')
ntctrl235,('', 'no hits')
ntctrl236,('', 'no hits')
ntctrl237,('', 'no hits')
ntctrl238,('', 'no hits')
ntctrl239,('', 'no hits')
ntctrl240,('', 'no hits')
ntctrl241,('', 'no hits')
ntctrl242,('', 'no hits')
ntctrl243,('', 'no hits')
ntctrl244,('', 'no hits')
ntctrl245,('', 'no hits')
ntctrl246,('', 'no hits')
ntctrl247,('', 'no hits')
ntctrl248,('', 'no hits')
ntctrl249,('', 'no hits')
ntctrl250,('', 'no hits')
ntctrl251,('', 'no hits')
ntctrl252,('', 'no hits')
ntctrl253,('', 'no hits')
ntctrl254,('', 'no hits')
ntctrl255,('', 'no hits')
ntctrl256,('', 'no hits')
ntctrl257,('', 'no hits')
ntctrl258,('', 'no hits')
ntctrl259,('', 'no hits')
ntctrl260,('', 'no hits')
ntctrl261,('', 'no hits')
ntctrl262,('', 'no hits')
ntctrl263,('', 'no hits')
ntctrl264,('', 'no hits')
ntctrl265,('', 'no hits')
ntctrl266,('', 'no hits')
ntctrl267,('', 'no hits')
ntctrl268,('', 'no hits')
ntctrl269,('', 'no hits')
ntctrl270,('', 'no hits')
ntctrl271,('', 'no hits')
ntctrl272,('', 'no hits')
ntctrl273,('', 'no hits')
ntctrl274,('', 'no hits')
ntctrl275,('', 'no hits')
ntctrl276,('', 'no hits')
ntctrl277,('', 'no hits')
ntctrl278,('', 'no hits')
ntctrl279,('', 'no hits')
ntctrl280,('', 'no hits')
ntctrl281,('', 'no hits')
ntctrl282,('', 'no hits')
ntctrl283,('', 'no hits')
ntctrl284,('', 'no hits')
ntctrl285,('', 'no hits')
ntctrl286,('', 'no hits')
ntctrl287,('', 'no hits')
ntctrl288,('', 'no hits')
ntctrl289,('', 'no hits')
ntctrl290,('', 'no hits')
ntctrl291,('', 'no hits')
ntctrl292,('', 'no hits')
ntctrl293,('', 'no hits')
ntctrl294,('', 'no hits')
ntctrl295,('', 'no hits')
ntctrl296,('', 'no hits')
ntctrl297,('', 'no hits')
ntctrl298,('', 'no hits')
ntctrl299,('', 'no hits')
ntctrl300,('', 'no hits')
ntctrl301,('', 'no hits')
ntctrl302,('', 'no hits')
ntctrl303,('', 'no hits')
ntctrl304,('', 'no hits')
ntctrl305,('', 'no hits')
ntctrl306,('', 'no hits')
ntctrl307,('', 'no hits')
ntctrl308,('', 'no hits')
ntctrl309,('', 'no hits')
ntctrl310,('', 'no hits')
ntctrl311,('', 'no hits')
ntctrl312,('', 'no hits')
ntctrl313,('', 'no hits')
ntctrl314,('', 'no hits')
ntctrl315,('', 'no hits')
ntctrl316,('', 'no hits')
ntctrl317,('', 'no hits')
ntctrl318,('', 'no hits')
ntctrl319,('', 'no hits')
ntctrl320,('', 'no hits')
ntctrl321,('', 'no hits')
ntctrl322,('', 'no hits')
ntctrl323,('', 'no hits')
ntctrl324,('', 'no hits')
ntctrl325,('', 'no hits')
ntctrl326,('', 'no hits')
ntctrl327,('', 'no hits')
ntctrl328,('', 'no hits')
ntctrl329,('', 'no hits')
ntctrl330,('', 'no hits')
ntctrl331,('', 'no hits')
ntctrl332,('', 'no hits')
ntctrl333,('', 'no hits')
ntctrl334,('', 'no hits')
ntctrl335,('', 'no hits')
ntctrl336,('', 'no hits')
ntctrl337,('', 'no hits')
ntctrl338,('', 'no hits')
ntctrl339,('', 'no hits')
ntctrl340,('', 'no hits')
ntctrl341,('', 'no hits')
ntctrl342,('', 'no hits')
ntctrl343,('', 'no hits')
BC029214,('', 'no hits')
Trp53,('TP53', '7157')
Ube2d-ps,('', 'no hits')
Gm20517,('', 'no hits')
Gm9762,('', 'no hits')
Gm10651,('', 'no hits')
Gm8325,('', 'no hits')
Usp17ld,('', 'no hits')
Usp17lc,('', 'no hits')
Usp17la,('', 'no hits')
Usp17lb,('', 'no hits')
Vmn1r225,('', 'no hits')
Pbsn,('', 'no hits')
Ube2dnl2,('', 'no hits')
Hbb-y,('', 'no hits')
Cd200r3,('', 'no hits')
Klk1b9,('', 'no hits')
Mug1,('', 'no hits')
Utp14b,('UTP14C', '9724')
BC031181,('', 'no hits')
a,('GPR162', '27239')
Gm906,('', 'no hits')
Vmn2r70,('', 'no hits')
Tmsb15b2,('', 'no hits')
Samt4,('', 'no hits')
Mrgpra1,('', 'no hits')
4930511M11Rik,('', 'no hits')
Gm527,('', 'no hits')
